loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
10500.5,36 months,7.85,328.42,A,A4,Project Manager,7 years,MORTGAGE,72000.0,Not Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,15.25,Mar-2000,11.0,0.0,11500.0,42.5,24.0,w,INDIVIDUAL,1.0,0.0,"123 Oak Street
Tulsa, OK 30723"
24500.0,60 months,14.85,650.25,C,C4,Operations Manager,7 years,MORTGAGE,95000.0,Verified,Jun-2023,Charged Off,debt_consolidation,Debt Consolidation Loan,19.85,Mar-1995,15.0,0.0,28500.0,58.5,33.0,f,INDIVIDUAL,3.0,0.0,"567 Palm Lane
Honolulu, HI 22690"
21500.0,36 months,7.82,670.45,A,A4,Financial Analyst,7 years,MORTGAGE,115000.0,Source Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,16.5,Mar-1994,14.0,0.0,31000.0,48.2,33.0,w,INDIVIDUAL,3.0,0.0,"1234 Palm Street
Honolulu, HI 22690"
11975.0,36 months,15.43,378.9,C,C5,Operations Manager,7 years,RENT,62005.0,Source Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,17.47,Jun-2000,10.0,0.0,10983.0,58.28,21.0,f,INDIVIDUAL,1.0,0.0,"567 Pine Street
Sacramento, CA 70466"
25500.0,36 months,14.25,875.32,C,C2,Operations Manager,7 years,MORTGAGE,115000.0,Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,19.5,Mar-1995,15.0,0.0,35000.0,62.5,35.0,f,INDIVIDUAL,3.0,0.0,"512 Mountain View Drive
Billings, MT 48052"
12250.5,36 months,17.35,372.85,D,D1,Operations Manager,7 years,RENT,61000.0,Source Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,19.5,Mar-2000,11.0,0.0,11600.0,57.2,24.0,w,INDIVIDUAL,1.0,0.0,"555 Liberty Lane
AE 29597"
9950.25,36 months,11.45,325.8,B,B3,Financial Analyst,4 years,RENT,55000.0,Not Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,16.75,Mar-2000,10.0,0.0,11000.0,54.2,22.0,f,INDIVIDUAL,1.0,0.0,"123 Palm Lane
Honolulu, HI 22690"
9850.25,36 months,11.85,325.68,B,B4,Operations Manager,7 years,RENT,58000.0,Not Verified,Jun-2023,Charged Off,debt_consolidation,Debt Consolidation Loan,16.85,Mar-2000,11.0,0.0,9500.0,55.25,22.0,f,INDIVIDUAL,0.0,0.0,"425 Mountain View Drive
Salt Lake City, UT 93700"
9825.5,36 months,11.85,325.42,B,B3,Project Manager,6 years,RENT,58500.0,Not Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,16.8,Mar-2001,11.0,0.0,10500.0,55.2,22.0,f,INDIVIDUAL,1.0,0.0,"351 Pine Street
AP 05113"
8500.0,36 months,20.75,315.42,E,E2,Project Manager,4 years,RENT,55000.0,Not Verified,Jun-2023,Charged Off,other,Personal Loan,19.5,Mar-2002,11.0,0.0,8500.0,55.2,22.0,f,INDIVIDUAL,1.0,0.0,"123 Maple Street
San Jose, CA 11650"
11250.5,36 months,14.25,389.65,C,C2,Operations Manager,7 years,MORTGAGE,68500.0,Source Verified,Jun-2023,Fully Paid,debt_consolidation,Debt Consolidation Loan,16.8,Mar-1998,11.0,0.0,12500.0,57.2,25.0,f,INDIVIDUAL,2.0,0.0,"567 Palm Lane
Honolulu, HI 22690"
