loan_amnt	term	int_rate	installment	grade	sub_grade	emp_title	emp_length	home_ownership	annual_inc	verification_status	issue_d	loan_status	purpose	title	dti	earliest_cr_line	open_acc	pub_rec	revol_bal	revol_util	total_acc	initial_list_status	application_type	mort_acc	pub_rec_bankruptcies	address
11271.82	36	14.81	389.69	C	C2	Financial Analyst	4 years	RENT	54985.43	Source Verified	Nov-2023	Fully Paid	major_purchase	Major Purchase	16.32	Oct-2011	9.33	0.0	9987.63	50.02	18.33	w	INDIVIDUAL	0.17	0.0	"656 Financial Street
New York, NY 10005"
18296.72	36	20.12	681.09	E	E1	Engineer	10+ years	OWN	80823.25	Source Verified	Jul-2023	Fully Paid	other	Other	20.45	Nov-2004	13.0	0.0	23269.37	63.19	29.0	f	INDIVIDUAL	1.71	0.0	"456 Street
Seattle, WA 98101"
22885.18	60	21.41	624.41	E	E4	Sales Manager	5 years	MORTGAGE	76460.14	Verified	Apr-2023	Fully Paid	debt_consolidation	Debt Consolidation	19.81	Jul-1999	11.0	0.0	18065.12	61.39	24.0	w	INDIVIDUAL	1.86	0.0	"123 Street
Houston, TX 77001"
12465.22	36	14.12	426.76	C	C5	Data Analyst	6 years	RENT	64367.05	Not Verified	Jan-2023	Fully Paid	debt_consolidation	Debt Consolidation	17.17	Jun-2009	11.29	0.0	11375.13	53.91	23.29	f	INDIVIDUAL	0.34	0.0	"777 Business Street
Houston, TX 77002"
23113.22	36	7.94	723.64	A	A5	Marketing Manager	6 years	MORTGAGE	137002.13	Source Verified	Jan-2023	Fully Paid	debt_consolidation	Debt Consolidation	17.12	Aug-1998	13.85	0.0	33317.82	49.11	33.56	w	INDIVIDUAL	4.0	0.0	"2345 Spring Lake Drive
Tulsa, OK 30723"
10122.93	36	6.59	310.67	A	A2	Software Engineer	5 years	RENT	81266.05	Not Verified	Feb-2023	Fully Paid	debt_consolidation	Debt Consolidation	14.1	Oct-2005	11.55	0.0	11557.18	29.46	23.11	w	INDIVIDUAL	1.27	0.0	"354 Technology Drive
Cupertino, CA 95014"
20538.47	36	7.83	641.99	A	A4	Software Developer	4 years	RENT	115327.87	Not Verified	Feb-2023	Fully Paid	major_purchase	Major Purchase	16.58	Feb-1994	12.41	0.0	29337.21	46.62	30.34	w	INDIVIDUAL	4.0	0.0	"1345 Oakwood Drive
Tulsa, OK 30723"
18023.5	60	8.3	368.04	A	A4	Data Analyst	8 years	RENT	96160.05	Not Verified	Apr-2023	Fully Paid	debt_consolidation	Debt Consolidation	15.75	Sep-2007	11.22	0.0	16556.51	43.36	25.3	w	INDIVIDUAL	1.44	0.0	"495 Innovation Boulevard
Mountain View, CA 94043"
12489.93	36	11.03	409.08	B	B5	Data Analyst	6 years	RENT	73933.08	Not Verified	Jan-2023	Fully Paid	debt_consolidation	Debt Consolidation	16.62	Oct-2005	11.0	0.0	13965.43	49.92	22.0	w	INDIVIDUAL	0.0	0.0	"825 Technology Drive
Clarksville, MT 48052"
9861.66	60	11.94	219.07	B	B4	Marketing Manager	9 years	MORTGAGE	73296.84	Source Verified	Mar-2023	Fully Paid	debt_consolidation	Debt Consolidation	14.44	Jun-2007	10.0	0.0	17824.83	55.2	20.0	f	INDIVIDUAL	1.0	0.0	"452 Financial Street
Springfield, MT 48052"
